itemkey,itemvalue,itemlink
GDPR,General Data Protection Regulation (EU privacy),https://en.wikipedia.org/wiki/General_Data_Protection_Regulation
GRE,Generic Routing Encapsulation,https://en.wikipedia.org/wiki/Generic_routing_encapsulation
GUI,Graphical User Interface,https://en.wikipedia.org/wiki/Graphical_user_interface
HTTP,Hypertext Transfer Protocol,https://en.wikipedia.org/wiki/HTTP
HTTPS,Hypertext Transfer Protocol Secure,https://en.wikipedia.org/wiki/HTTPS
IaaS,Infrastructure as a Service,https://en.wikipedia.org/wiki/Infrastructure_as_a_service
IaC,Infrastructure as Code,https://en.wikipedia.org/wiki/Infrastructure_as_code
IAM,Identity and Access Management,https://en.wikipedia.org/wiki/Identity_and_access_management
IBSS,Independent Basic Service Set,https://en.wikipedia.org/wiki/Service_set_(802.11_network)#Independent
ICMP,Internet Control Message Protocol,https://en.wikipedia.org/wiki/Internet_Control_Message_Protocol
ICS,Industrial Control System,https://en.wikipedia.org/wiki/Industrial_control_system
IDF,Intermediate Distribution Frame,https://en.wikipedia.org/wiki/Intermediate_distribution_frame
IDS,Intrusion Detection System,https://en.wikipedia.org/wiki/Intrusion_detection_system
IoT,Internet of Things,https://en.wikipedia.org/wiki/Internet_of_things
IIoT,Industrial Internet of Things,https://en.wikipedia.org/wiki/Industrial_internet_of_things
IKE,Internet Key Exchange,https://en.wikipedia.org/wiki/Internet_Key_Exchange
IP,Internet Protocol,https://en.wikipedia.org/wiki/Internet_Protocol
IPAM,Internet Protocol Address Management,https://en.wikipedia.org/wiki/IP_address_management
IPS,Intrusion Prevention System,https://en.wikipedia.org/wiki/Intrusion_detection_system#Intrusion_prevention
IPSec,Internet Protocol Security,https://en.wikipedia.org/wiki/IPsec
IS-IS,Intermediate System to Intermediate System,https://en.wikipedia.org/wiki/IS-IS
LACP,Link Aggregation Control Protocol,https://en.wikipedia.org/wiki/Link_aggregation#Link_Aggregation_Control_Protocol
LAN,Local Area Network,https://en.wikipedia.org/wiki/Local_area_network
LC,Lucent/Little/Local Connector (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector
LDAP,Lightweight Directory Access Protocol,https://en.wikipedia.org/wiki/Lightweight_Directory_Access_Protocol
LDAPS,Lightweight Directory Access Protocol over SSL,https://en.wikipedia.org/wiki/Lightweight_Directory_Access_Protocol#StartTLS
LLDP,Link Layer Discovery Protocol,https://en.wikipedia.org/wiki/Link_Layer_Discovery_Protocol
MAC,Media Access Control,https://en.wikipedia.org/wiki/Medium_access_control
MAC,Message Authentication Code,https://en.wikipedia.org/wiki/Message_authentication_code
MDF,Main Distribution Frame,https://en.wikipedia.org/wiki/Main_distribution_frame
MDIX,Medium Dependent Interface Crossover,https://en.wikipedia.org/wiki/Medium-dependent_interface
MFA,Multifactor Authentication,https://en.wikipedia.org/wiki/Multi-factor_authentication
MIB,Management Information Base,https://en.wikipedia.org/wiki/Management_information_base
MIC,Message Integrity Code (prefer Message Authentication Code),https://en.wikipedia.org/wiki/Message_authentication_code
MPO,Multifiber Push On (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector
MTBF,Mean Time Between Failure,https://en.wikipedia.org/wiki/Mean_time_between_failures
MTTR,Mean Time To Recovery,https://en.wikipedia.org/wiki/Mean_time_to_recovery
MTTR,Mean Time To Repair,https://en.wikipedia.org/wiki/Mean_time_to_repair
MTU,Maximum Transmission Unit,https://en.wikipedia.org/wiki/Maximum_transmission_unit
MX,Mail Exchange,https://en.wikipedia.org/wiki/MX_record
NAC,Network Access Control,https://en.wikipedia.org/wiki/Network_Access_Control
NAS,Network-attached Storage,https://en.wikipedia.org/wiki/Network-attached_storage
NAT,Network Address Translation,https://en.wikipedia.org/wiki/Network_address_translation
NFV,Network Functions Virtualization,https://en.wikipedia.org/wiki/Network_function_virtualization
NIC,Network Interface Card,https://en.wikipedia.org/wiki/Network_interface_controller
NS,Name Server,https://en.wikipedia.org/wiki/Name_server
NTP,Network Time Protocol,https://en.wikipedia.org/wiki/Network_Time_Protocol
NTS,Network Time Security,https://en.wikipedia.org/wiki/Network_Time_Protocol#Secure_extensions
OID,Object Identifier,
OS,Operating System,https://en.wikipedia.org/wiki/Operating_system
OSPF,Open Shortest Path First,https://en.wikipedia.org/wiki/Open_Shortest_Path_First
OSI,Open Systems Interconnection,https://en.wikipedia.org/wiki/OSI_model
OT,Operational Technology,https://en.wikipedia.org/wiki/Operational_technology
PaaS,Platform as a Service,https://en.wikipedia.org/wiki/Platform_as_a_service
PAT,Port Address Translation,https://en.wikipedia.org/wiki/Network_address_translation#One-to-many_NAT
PCI DSS,Payment Card Industry Data Security Standard,https://en.wikipedia.org/wiki/Payment_Card_Industry_Data_Security_Standard
PDU,Power Distribution Unit,https://en.wikipedia.org/wiki/Power_distribution_unit
PKI,Public Key Infrastructure,https://en.wikipedia.org/wiki/Public_key_infrastructure
PoE,Power over Ethernet,https://en.wikipedia.org/wiki/Power_over_Ethernet
PSK,Pre-Shared Key,https://en.wikipedia.org/wiki/Pre-shared_key
PTP,Precision Time Protocol,https://en.wikipedia.org/wiki/Precision_Time_Protocol
PTR,Pointer,https://en.wikipedia.org/wiki/List_of_DNS_record_types#Resource_records
QoS,Quality of Service,https://en.wikipedia.org/wiki/Quality_of_service
QSFP,Quad Small Form-factor Pluggable,https://en.wikipedia.org/wiki/Small_Form-factor_Pluggable#QSFP
RADIUS,Remote Authentication Dial-In User Service,https://en.wikipedia.org/wiki/RADIUS
RDP,Remote Desktop Protocol (Windows),https://en.wikipedia.org/wiki/Remote_Desktop_Protocol
RFB,Remote Frame Buffer (VNC),https://en.wikipedia.org/wiki/RFB_(protocol)
RFID,Radio-Frequency Identification,https://en.wikipedia.org/wiki/Radio-frequency_identification
RIP,Routing Information Protocol,https://en.wikipedia.org/wiki/Routing_Information_Protocol
RJ,Registered Jack,https://en.wikipedia.org/wiki/Registered_jack
RPO,Recovery Point Objective,https://en.wikipedia.org/wiki/IT_disaster_recovery#Recovery_Point_Objective
RSTP,Rapid Spanning Tree Protocol,https://en.wikipedia.org/wiki/Spanning_Tree_Protocol#Rapid_Spanning_Tree_Protocol
RTO,Recovery Time Objective,https://en.wikipedia.org/wiki/IT_disaster_recovery#Recovery_Time_Objective
RX,Receiver,https://en.wikipedia.org/wiki/Telecommunications#Basic_elements
SaaS,Software as a Service,https://en.wikipedia.org/wiki/Software_as_a_service
SAML,Security Assertion Markup Language,https://en.wikipedia.org/wiki/Security_Assertion_Markup_Language
SAN,Storage Area Network,https://en.wikipedia.org/wiki/Storage_area_network
SASE,Secure Access Server Edge,https://en.wikipedia.org/wiki/Secure_access_service_edge
SC,Subscriber Connector (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector
SCADA,Supervisory Control And Data Acquisition,https://en.wikipedia.org/wiki/SCADA
SDN,Software-Defined Networking,https://en.wikipedia.org/wiki/Software-defined_networking
SD-WAN,Software-Defined Wide Area Network,https://en.wikipedia.org/wiki/SD-WAN
SFP,Small Form-factor Pluggable,https://en.wikipedia.org/wiki/Small_Form-factor_Pluggable
SFTP,SSH File Transfer Protocol,https://en.wikipedia.org/wiki/SSH_File_Transfer_Protocol
SIP,Session Initiation Protocol,https://en.wikipedia.org/wiki/Session_Initiation_Protocol
SIEM,Security Information and Event Management,https://en.wikipedia.org/wiki/Security_information_and_event_management
SLA,Service-level Agreement,https://en.wikipedia.org/wiki/Service-level_agreement
SLAAC,Stateless Address Autoconfiguration,https://en.wikipedia.org/wiki/IPv6_address#Stateless_address_autoconfiguration_(SLAAC)
SMB,Server Message Block,https://en.wikipedia.org/wiki/Server_Message_Block
SMTP,Simple Mail Transfer Protocol,https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol
SMTPS,Simple Mail Transfer Protocol Secure,https://en.wikipedia.org/wiki/SMTPS
SNMP,Simple Network Management Protocol,https://en.wikipedia.org/wiki/Simple_Network_Management_Protocol
SOA,Start of Authority (DNS),https://en.wikipedia.org/wiki/SOA_record
SQL,Structured Query Language,https://en.wikipedia.org/wiki/SQL
SSE,Security Service Edge,https://en.wikipedia.org/wiki/Secure_access_service_edge
SSH,Secure Shell,https://en.wikipedia.org/wiki/Secure_Shell
SSID,Service Set Identifier,https://en.wikipedia.org/wiki/Service_set_(802.11_network)#Service_set_identifier
SSL,Secure Sockets Layer,"https://en.wikipedia.org/wiki/Transport_Layer_Security#SSL_1.0,_2.0,_and_3.0"
SSO,Single Sign-On,https://en.wikipedia.org/wiki/Single_sign-on
ST,Straight Tip (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector
STP,Shielded Twisted Pair,https://en.wikipedia.org/wiki/Twisted_pair
STP,Spanning Tree Protocol,https://en.wikipedia.org/wiki/Spanning_Tree_Protocol
SVI,Switch Virtual Interface,https://en.wikipedia.org/wiki/Switch_virtual_interface
TACACS+,Terminal Access Controller Access Control System Plus,https://en.wikipedia.org/wiki/TACACS
TCP,Transmission Control Protocol,https://en.wikipedia.org/wiki/Transmission_Control_Protocol
TFTP,Trivial File Transfer Protocol,https://en.wikipedia.org/wiki/Trivial_File_Transfer_Protocol
TLS,Transport Layer Security,https://en.wikipedia.org/wiki/Transport_Layer_Security
TTL,Time to Live,https://en.wikipedia.org/wiki/Time_to_live
TX,Transmitter,https://en.wikipedia.org/wiki/Telecommunications#Basic_elements
TXT,Text,https://en.wikipedia.org/wiki/TXT_record
UDP,User Datagram Protocol,https://en.wikipedia.org/wiki/User_Datagram_Protocol
UPS,Uninterruptible Power Supply,https://en.wikipedia.org/wiki/Uninterruptible_power_supply
URL,Uniform Resource Locator,https://en.wikipedia.org/wiki/URL
USB,Universal Serial Bus,https://en.wikipedia.org/wiki/USB
UTM,Unified Threat Management,https://en.wikipedia.org/wiki/Unified_threat_management
UTP,Unshielded Twisted Pair,https://en.wikipedia.org/wiki/Twisted_pair#Unshielded_twisted_pair
VIP,Virtual IP,https://en.wikipedia.org/wiki/Virtual_IP_address
VLAN,Virtual LAN,https://en.wikipedia.org/wiki/VLAN
VLSM,Variable Length Subnet Mask,https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing#VLSM
VNC,Virtual Network Computing,https://en.wikipedia.org/wiki/VNC
VoIP,Voice over Internet Protocol,https://en.wikipedia.org/wiki/Voice_over_IP
VPC,Virtual Private Cloud,https://en.wikipedia.org/wiki/Virtual_private_cloud
VPN,Virtual Private Network,https://en.wikipedia.org/wiki/Virtual_private_network
WAN,Wide Area Network,https://en.wikipedia.org/wiki/Wide_area_network
WPA,Wi-Fi Protected Access (TKIP),https://en.wikipedia.org/wiki/Wi-Fi_Protected_Access#WPA
WPS,Wi-Fi Protected Setup,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Setup
VXLAN,Virtual Extensible LAN,https://en.wikipedia.org/wiki/Virtual_Extensible_LAN
ZTA,Zero Trust Architecture,https://en.wikipedia.org/wiki/Zero_trust_architecture
