itemkey,itemvalue,itemlink
DRM,Digital Rights Management,https://en.wikipedia.org/wiki/Digital_rights_management
DSL,Digital Subscriber Line,https://en.wikipedia.org/wiki/Digital_subscriber_line
DVI,Digital Visual Interface,https://en.wikipedia.org/wiki/Digital_Visual_Interface
DVI-A,Digital Visual Interface-Analog,https://en.wikipedia.org/wiki/Digital_Visual_Interface
DVI-D,Digital Visual Interface-Digital,https://en.wikipedia.org/wiki/Digital_Visual_Interface
DVI-I,Digital Visual Interface-Integrated,https://en.wikipedia.org/wiki/Digital_Visual_Interface
DVD,Digital Versatile Disc,https://en.wikipedia.org/wiki/DVD
DVD-R,Digital Versatile Disc-Recordable,https://en.wikipedia.org/wiki/DVD_recordable
DVD-RW,Digital Versatile Disc-Rewritable,https://en.wikipedia.org/wiki/DVD_recordable
EAP,Extensible Authentication Protocol,https://en.wikipedia.org/wiki/Extensible_Authentication_Protocol
ECC,Error Correcting Code,https://en.wikipedia.org/wiki/ECC_memory
EFS,Encrypting File System (Windows),https://en.wikipedia.org/wiki/Encrypting_File_System
EMI,Electromagnetic Interference,https://en.wikipedia.org/wiki/Electromagnetic_interference
eMMC,Embedded Multimedia Card,https://en.wikipedia.org/wiki/MultiMediaCard#eMMC
EOL,End of Life,https://en.wikipedia.org/wiki/End-of-life_product
EOSL,End of Service Life,https://en.wikipedia.org/wiki/End-of-life_product
eSATA,External Serial Advanced Technology Attachment,https://en.wikipedia.org/wiki/SATA#eSATA
ESD,Electrostatic Discharge ,https://en.wikipedia.org/wiki/Electrostatic_discharge
EULA,End-User License Agreement,https://en.wikipedia.org/wiki/End-user_license_agreement
exFAT,Extensible File Allocation Table (Microsoft),https://en.wikipedia.org/wiki/ExFAT
ext,Extended File System (Linux),https://en.wikipedia.org/wiki/Extended_file_system
FAT,File Allocation Table (DOS and Windows 9x),https://en.wikipedia.org/wiki/File_Allocation_Table
FAT12,12-bit File Allocation Table,https://en.wikipedia.org/wiki/File_Allocation_Table#FAT12
FAT16,16-bit File Allocation Table,https://en.wikipedia.org/wiki/File_Allocation_Table#FAT16
FAT32,32-bit File Allocation Table,https://en.wikipedia.org/wiki/File_Allocation_Table#FAT32
FCoE,Fibre Channel over Ethernet,https://en.wikipedia.org/wiki/Fibre_Channel_over_Ethernet
FDE,"Full Disk Encryption (BitLocker, FileVault)","https://en.wikipedia.org/wiki/FileVault
https://en.wikipedia.org/wiki/BitLocker"
FOSS,Free and Open Source Software,https://en.wikipedia.org/wiki/Free_and_open-source_software
FSB,Front-Side Bus (Intel based boards),https://en.wikipedia.org/wiki/Front-side_bus
FTP,File Transfer Protocol,https://en.wikipedia.org/wiki/File_Transfer_Protocol
FTPS,File Transfer Protocol Secure (FTP with TLS),https://en.wikipedia.org/wiki/FTPS
Gb,Gigabit,https://en.wikipedia.org/wiki/Gigabit_Ethernet
GB,Gigabyte,https://en.wikipedia.org/wiki/Gigabyte
Gbps,Gigabit per second,https://en.wikipedia.org/wiki/Data-rate_units#Gigabit_per_second
GDDR,Graphics DDR [Double Data Rate],https://en.wikipedia.org/wiki/GDDR_SDRAM
GDPR,General Data Protection Regulation (EU privacy),https://en.wikipedia.org/wiki/General_Data_Protection_Regulation
GFS,Grandfather-Father-Son,https://en.wikipedia.org/wiki/Backup_rotation_scheme#Grandfather-father-son
GHz,Gigahertz,https://en.wikipedia.org/wiki/Hertz
GPO,Group Policy Object (Active Directory),https://en.wikipedia.org/wiki/Group_Policy
GPS,Global Positioning System ,https://en.wikipedia.org/wiki/Global_Positioning_System
GPT,GUID [Globally Unique Identifier] Partition Table ,https://en.wikipedia.org/wiki/GUID_Partition_Table
GPU,Graphics Processing Unit ,https://en.wikipedia.org/wiki/Graphics_processing_unit
GSM,Global System for Mobile Communications,https://en.wikipedia.org/wiki/GSM
GUI,Graphical User Interface,https://en.wikipedia.org/wiki/Graphical_user_interface
GUID,Globally Unique Identifier,https://en.wikipedia.org/wiki/Universally_unique_identifier
HAL,Hardware Abstraction Layer ,https://en.wikipedia.org/wiki/Hardware_abstraction
HAV,Hardware-assisted Virtualization,https://en.wikipedia.org/wiki/Hardware-assisted_virtualization
HCL,Hardware Compatibility List,https://en.wikipedia.org/wiki/Hardware_compatibility_list
HDCP,High-bandwidth Digital Content Protection,https://en.wikipedia.org/wiki/High-bandwidth_Digital_Content_Protection
HDD,Hard Disk Drive,https://en.wikipedia.org/wiki/Hard_disk_drive
HDMI,High-Definition Multimedia Interface,https://en.wikipedia.org/wiki/HDMI
HFS,Hierarchical File System (Macintosh),https://en.wikipedia.org/wiki/Hierarchical_File_System_(Apple)
HHD,Hybrid Hard Drive,https://en.wikipedia.org/wiki/Hybrid_drive
HSM,Hardware Security Module,https://en.wikipedia.org/wiki/Hardware_security_module
HTML,Hypertext Markup Language,https://en.wikipedia.org/wiki/HTML
HTTP,Hypertext Transfer Protocol,https://en.wikipedia.org/wiki/HTTP
HTTPS,Hypertext Transfer Protocol Secure,https://en.wikipedia.org/wiki/HTTPS
I/O,Input/Output,https://en.wikipedia.org/wiki/Input/output
IaaS,Infrastructure as a Service,https://en.wikipedia.org/wiki/Infrastructure_as_a_service
ICMP,Internet Control Message Protocol,https://en.wikipedia.org/wiki/Internet_Control_Message_Protocol
ICR,Intelligent Character Recognition,https://en.wikipedia.org/wiki/Intelligent_character_recognition
IDE,Integrated Drive Electronics,https://en.wikipedia.org/wiki/Parallel_ATA#IDE_and_ATA-1
IDS,Intrusion Detection System,https://en.wikipedia.org/wiki/Intrusion_detection_system
IEEE,Institute of Electrical and Electronics Engineers,https://en.wikipedia.org/wiki/Institute_of_Electrical_and_Electronics_Engineers
IMAP,Internet Message Access Protocol ,https://en.wikipedia.org/wiki/Internet_Message_Access_Protocol
IOPS,Input/Output Operations Per Second,https://en.wikipedia.org/wiki/IOPS
IoT,Internet of Things,https://en.wikipedia.org/wiki/Internet_of_things
IP,Internet Protocol,https://en.wikipedia.org/wiki/Internet_Protocol
IPSec,Internet Protocol Security ,https://en.wikipedia.org/wiki/IPsec
IPS,Intrusion Prevention System or In-Plane Switching (LCD),"https://en.wikipedia.org/wiki/Intrusion_detection_system#Intrusion_prevention
https://en.wikipedia.org/wiki/IPS_panel"
IR,Infrared,https://en.wikipedia.org/wiki/Infrared
IrDA,Infrared Data Association,https://en.wikipedia.org/wiki/Infrared_Data_Association
IRP,Incident Response Plan ,https://en.wikipedia.org/wiki/Information_security#Incident_response_plans
ISO,International Organization for Standardization ,https://en.wikipedia.org/wiki/International_Organization_for_Standardization
iSCSI,Internet SCSI,https://en.wikipedia.org/wiki/ISCSI
ISP,Internet Service Provider ,https://en.wikipedia.org/wiki/Internet_service_provider
IT,Information Technology,https://en.wikipedia.org/wiki/Information_technology
ITX,"Information Technology eXtended (Mini-ITX, Nano-ITX, Pico-ITX, mobile-ITX)",https://en.wikipedia.org/wiki/Mini-ITX
JBOD,Just A Bunch Of Disks (i.e. not RAID),https://en.wikipedia.org/wiki/Non-RAID_drive_architectures#JBOD
Kb,Kilobit,https://en.wikipedia.org/wiki/Kilobit
KB,Kilobyte or Knowledge Base,"https://en.wikipedia.org/wiki/Kilobyte
https://en.wikipedia.org/wiki/Knowledge_base"
Kbps,Kilobit per second,https://en.wikipedia.org/wiki/Data-rate_units#Kilobit_per_second
KVM,Keyboard-Video-Mouse,https://en.wikipedia.org/wiki/KVM_switch
L2TP,Layer 2 Tunneling Protocol,https://en.wikipedia.org/wiki/Layer_2_Tunneling_Protocol
LAN,Local Area Network,https://en.wikipedia.org/wiki/Local_area_network
LC,Lucent Connector (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector
LCD,Liquid Crystal Display,https://en.wikipedia.org/wiki/Liquid-crystal_display
LDAP,Lightweight Directory Access Protocol,https://en.wikipedia.org/wiki/Lightweight_Directory_Access_Protocol
LEAP,Lightweight Extensible Authentication Protocol (Cisco),https://en.wikipedia.org/wiki/Lightweight_Extensible_Authentication_Protocol
LED,Light-Emitting Diode,https://en.wikipedia.org/wiki/Light-emitting_diode
LTE,Long Term Evolution,https://en.wikipedia.org/wiki/LTE_(telecommunication)
MAC,Media Access Control/Mandatory Access Control/Message Authentication Code,"https://en.wikipedia.org/wiki/Medium_access_control
https://en.wikipedia.org/wiki/Mandatory_access_control
https://en.wikipedia.org/wiki/Message_authentication_code"
MAM,Mobile Application Management ,https://en.wikipedia.org/wiki/Mobile_application_management
MAN,Metropolitan Area Network,https://en.wikipedia.org/wiki/Metropolitan_area_network
Mb,Megabit,https://en.wikipedia.org/wiki/Megabit
MB ,Megabyte,https://en.wikipedia.org/wiki/Megabyte
Mbps ,Megabit per second,https://en.wikipedia.org/wiki/Data-rate_units#Megabit_per_second
MBR,Master Boot Record (IBM PC - superseded by GPT),https://en.wikipedia.org/wiki/Master_boot_record
MDM,Mobile Device Management,https://en.wikipedia.org/wiki/Mobile_device_management
MFA,Multifactor Authentication,https://en.wikipedia.org/wiki/Multi-factor_authentication
MFD,"Multi-Function Device (a.k.a. AIO, MFP)",https://en.wikipedia.org/wiki/Multi-function_printer
MFP,"Multi-Function Printer (a.k.a. AIO, MFD)",https://en.wikipedia.org/wiki/Multi-function_printer
MHz ,Megahertz,https://en.wikipedia.org/wiki/Hertz
MIC,Message Integrity Check (prefer Message Authentication Code),https://en.wikipedia.org/wiki/Message_authentication_code
MITM ,Man in the Middle,https://en.wikipedia.org/wiki/Man-in-the-middle_attack
MMC,Microsoft Management Console (Windows - snap-ins),https://en.wikipedia.org/wiki/Microsoft_Management_Console
MMS,Multimedia Messaging Service,https://en.wikipedia.org/wiki/Multimedia_Messaging_Service
MOU,Memorandum of Understanding,https://en.wikipedia.org/wiki/Memorandum_of_understanding
MP3,Moving Picture Experts Group Layer 3 Audio,https://en.wikipedia.org/wiki/MP3
MP4,Moving Picture Experts Group Layer 4 Video,https://en.wikipedia.org/wiki/MP4_file_format
mSATA,mini SATA [Serial Advanced Technology Attachment],https://en.wikipedia.org/wiki/SATA#Mini-SATA_(mSATA)
MSDS,Material Safety Data Sheet ,https://en.wikipedia.org/wiki/Safety_data_sheet
MSP,Managed Service Provider,https://en.wikipedia.org/wiki/Managed_services
MSRA,Microsoft Remote Assistance (Quick Assist in Win 10 and later),https://en.wikipedia.org/wiki/Quick_Assist
MTBF,Mean Time Between Failure,https://en.wikipedia.org/wiki/Mean_time_between_failures
MX,Mail Exchange ,https://en.wikipedia.org/wiki/MX_record
NAC,Network Access Control,https://en.wikipedia.org/wiki/Network_Access_Control
NAS,Network Attached Storage/Network Access Server,"https://en.wikipedia.org/wiki/Network-attached_storage
https://en.wikipedia.org/wiki/Network_Access_Server"
NAT,Network Address Translation ,https://en.wikipedia.org/wiki/Network_address_translation
NDA,Non-Disclosure Agreement,https://en.wikipedia.org/wiki/Non-disclosure_agreement
NetBIOS,Networked Basic Input/Output System,https://en.wikipedia.org/wiki/NetBIOS
NetBT,NetBIOS over TCP/IP,https://en.wikipedia.org/wiki/NetBIOS_over_TCP/IP
NFC,Near-Field Communication ,https://en.wikipedia.org/wiki/Near-field_communication
NFS,Network File System,https://en.wikipedia.org/wiki/Network_File_System
NIC,Network Interface Card,https://en.wikipedia.org/wiki/Network_interface_controller
NTFS,New Technology File System (Windows),https://en.wikipedia.org/wiki/NTFS
NTLDR,"NT Loader (Windows, replaced by BOOTMGR)",https://en.wikipedia.org/wiki/NTLDR
NTP,Network Time Protocol,https://en.wikipedia.org/wiki/Network_Time_Protocol
NVMe,Non-Volatile Memory Express,https://en.wikipedia.org/wiki/NVM_Express
OCR,Optical Character Recognition,https://en.wikipedia.org/wiki/Optical_character_recognition
OEM,Original Equipment Manufacturer,https://en.wikipedia.org/wiki/Original_equipment_manufacturer
OLED,Organic Light-emitting Diode,https://en.wikipedia.org/wiki/OLED
ONT,Optical Network Terminal,https://en.wikipedia.org/wiki/Network_interface_device#Optical_network_terminals
OFDMA,Orthogonal frequency-division multiple access (e.g. 802.11ax),https://en.wikipedia.org/wiki/Orthogonal_frequency-division_multiple_access
OS,Operating System,https://en.wikipedia.org/wiki/Operating_system
OU,"Organizational Unit (LDAP, Active Directory)",https://en.wikipedia.org/wiki/Organizational_unit
P2P,Peer-To-Peer,https://en.wikipedia.org/wiki/Peer-to-peer
PaaS,Platform as a Service,https://en.wikipedia.org/wiki/Platform_as_a_service
PAN,Personal Area Network,https://en.wikipedia.org/wiki/Personal_area_network
PATA,Parallel Advanced Technology Attachment (== ATA),https://en.wikipedia.org/wiki/Parallel_ATA
PB ,Petabyte (KB * 10*5),https://en.wikipedia.org/wiki/Byte
PC,Personal Computer,https://en.wikipedia.org/wiki/Personal_computer
PCI,Peripheral Component Interconnect/Payment Card Industry,"https://en.wikipedia.org/wiki/Peripheral_Component_Interconnect
https://en.wikipedia.org/wiki/Payment_card_industry"
PCIe,Peripheral Component Interconnect Express,https://en.wikipedia.org/wiki/PCI_Express
PCI DSS,Payment Card Industry Data Security Standard,https://en.wikipedia.org/wiki/Payment_Card_Industry_Data_Security_Standard
PCL,Printer Command Language,https://en.wikipedia.org/wiki/Printer_Command_Language
PDF,Portable Document Format,https://en.wikipedia.org/wiki/PDF
PDU,Power Distribution Unit,https://en.wikipedia.org/wiki/Power_distribution_unit
PEAP,Protected Extensible Authentication Protocol,https://en.wikipedia.org/wiki/Protected_Extensible_Authentication_Protocol
PHI,Protected Health Information,https://en.wikipedia.org/wiki/Protected_health_information
PII,Personally Identifiable Information,https://en.wikipedia.org/wiki/Personal_data
PIN,Personal Identification Number,https://en.wikipedia.org/wiki/Personal_identification_number
PKI,Public Key Infrastructure,https://en.wikipedia.org/wiki/Public_key_infrastructure
PLC,Programmable Logic Controller,https://en.wikipedia.org/wiki/Programmable_logic_controller
PoE,Power over Ethernet,https://en.wikipedia.org/wiki/Power_over_Ethernet
POP,Post Office Protocol,https://en.wikipedia.org/wiki/Post_Office_Protocol
POP3,Post Office Protocol 3,https://en.wikipedia.org/wiki/Post_Office_Protocol
POST,Power-On Self-Test,https://en.wikipedia.org/wiki/Power-on_self-test
PPP,Point-to-Point Protocol,https://en.wikipedia.org/wiki/Point-to-Point_Protocol
PPTP,Point-to-point Tunneling Protocol (Obsolete VPN),https://en.wikipedia.org/wiki/Point-to-Point_Tunneling_Protocol
PRL,Preferred Roaming List,https://en.wikipedia.org/wiki/Preferred_Roaming_List
PSK,Pre-Shared Key,https://en.wikipedia.org/wiki/Pre-shared_key
PSU,Power Supply Unit ,https://en.wikipedia.org/wiki/Power_supply_unit_(computer)
PXE,Preboot eXecution Environment (Pixie Boot),https://en.wikipedia.org/wiki/Preboot_Execution_Environment
RADIUS,Remote Authentication Dial-in User Service,https://en.wikipedia.org/wiki/RADIUS
RAID,Redundant Array of Independent [or Inexpensive] Disks,https://en.wikipedia.org/wiki/RAID
RAM,Random-Access Memory ,https://en.wikipedia.org/wiki/Random-access_memory
RDP,Remote Desktop Protocol (Windows),https://en.wikipedia.org/wiki/Remote_Desktop_Protocol
ReFS,Resilient File System (Windows),https://en.wikipedia.org/wiki/ReFS
RF,Radio Frequency,https://en.wikipedia.org/wiki/Radio_frequency
RFI,Radio-Frequency Interference,https://en.wikipedia.org/wiki/Electromagnetic_interference
RFID,Radio-Frequency Identification,https://en.wikipedia.org/wiki/Radio-frequency_identification
RJ11,Registered Jack Function 11 (POTS),https://en.wikipedia.org/wiki/Registered_jack#RJ11
RJ45,Registered Jack Function 45 (Ethernet),https://en.wikipedia.org/wiki/Modular_connector#8P8C
RMM,Remote Monitoring and Management (for MSPs),https://en.wikipedia.org/wiki/Remote_monitoring_and_management
ROM,Read-only Memory,https://en.wikipedia.org/wiki/Read-only_memory
RTO,Recovery Time Objective,https://en.wikipedia.org/wiki/IT_disaster_recovery#Recovery_Time_Objective
S/MIME,Secure/Multipurpose Internet Mail Extensions,https://en.wikipedia.org/wiki/S/MIME
SaaS,Software as a Service ,https://en.wikipedia.org/wiki/Software_as_a_service
SAM,"Security Account Manager (Windows, similar to macOS Keychain)",https://en.wikipedia.org/wiki/Security_Account_Manager
SAN,Storage Area Network,https://en.wikipedia.org/wiki/Storage_area_network
SAS,Serial Attached SCSI,https://en.wikipedia.org/wiki/Serial_Attached_SCSI
SATA,Serial Advanced Technology Attachment,https://en.wikipedia.org/wiki/SATA
SC,Subscriber Connector (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector
SCADA,Supervisory Control And Data Acquisition,https://en.wikipedia.org/wiki/SCADA
SCP,Secure Copy Protocol (Protection?),https://en.wikipedia.org/wiki/Secure_copy_protocol
SCSI,Small Computer System Interface,https://en.wikipedia.org/wiki/SCSI
SD Card,Secure Digital Card,https://en.wikipedia.org/wiki/SD_card
SDD,"Super Density Disk (proprietary, superseded by DVD)",https://en.wikipedia.org/wiki/DVD
SDN,Software-Defined Networking ,https://en.wikipedia.org/wiki/Software-defined_networking
SFC,System File Checker (Windows),https://en.wikipedia.org/wiki/System_File_Checker
SFTP,SSH (Secure) File Transfer Protocol,https://en.wikipedia.org/wiki/SSH_File_Transfer_Protocol
SHA,Secure Hashing Algorithm,https://en.wikipedia.org/wiki/Secure_Hash_Algorithms
SID ,Security Identifier (Windows),https://en.wikipedia.org/wiki/Security_Identifier
SIEM,Security Information and Event Management,https://en.wikipedia.org/wiki/Security_information_and_event_management
SIM,Subscriber Identity Module,https://en.wikipedia.org/wiki/SIM_card
SIMM,Single Inline Memory Module,https://en.wikipedia.org/wiki/SIMM
S.M.A.R.T.,Self-Monitoring Analysis and Reporting Technology,"https://en.wikipedia.org/wiki/Self-Monitoring,_Analysis_and_Reporting_Technology"
SMB,Server Message Block ,https://en.wikipedia.org/wiki/Server_Message_Block
SMS,Short Message Service,https://en.wikipedia.org/wiki/SMS
SMTP,Simple Mail Transfer Protocol,https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol
SNMP,Simple Network Management Protocol,https://en.wikipedia.org/wiki/Simple_Network_Management_Protocol
SNTP,Simple Network Time Protocol,https://en.wikipedia.org/wiki/Network_Time_Protocol#SNTP
SOA,Start of Authority (DNS),https://en.wikipedia.org/wiki/SOA_record
SODIMM,Small Outline Dual Inline Memory Module (Laptops),https://en.wikipedia.org/wiki/DIMM#SO-DIMM
SOE,Standard Operating Environment,https://en.wikipedia.org/wiki/Standard_Operating_Environment
SOHO,Small Office/Home Office,https://en.wikipedia.org/wiki/Small_office/home_office
SOP,Standard Operating Procedure,https://en.wikipedia.org/wiki/Standard_operating_procedure
SPF,Sender Policy Framework (email authentication),https://en.wikipedia.org/wiki/Sender_Policy_Framework
SQL,Structured Query Language,https://en.wikipedia.org/wiki/SQL
SRAM,Static Random-Access Memory ,https://en.wikipedia.org/wiki/Static_random-access_memory
SRV,Service record (DNS),https://en.wikipedia.org/wiki/SRV_record
SSD,Solid-State Drive,https://en.wikipedia.org/wiki/Solid-state_drive
SSH,Secure Shell ,https://en.wikipedia.org/wiki/Secure_Shell
SSID,Service Set Identifier,https://en.wikipedia.org/wiki/Service_set_(802.11_network)
SSL,Secure Sockets Layer,"https://en.wikipedia.org/wiki/Transport_Layer_Security#SSL_1.0,_2.0,_and_3.0"
SSO,Single Sign-On,https://en.wikipedia.org/wiki/Single_sign-on
SSTP,"Secure Socket Tunneling Protocol (Windows, Linux, BSD)",https://en.wikipedia.org/wiki/Secure_Socket_Tunneling_Protocol
ST,Straight Tip (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector
STL,STereoLithography (3D-printing),https://en.wikipedia.org/wiki/Stereolithography
STP,Shielded Twisted Pair,https://en.wikipedia.org/wiki/Twisted_pair
TACACS,Terminal Access Controller Access-Control System,https://en.wikipedia.org/wiki/TACACS
TAR,Tape ARchive,https://en.wikipedia.org/wiki/Tar_(computing)
Tb,Terabit,https://en.wikipedia.org/wiki/Terabit_Ethernet
TB,Terabyte,https://en.wikipedia.org/wiki/Byte
Tbps,Terabits per second,https://en.wikipedia.org/wiki/Data-rate_units#Terabit_per_second
TCP,Transmission Control Protocol ,https://en.wikipedia.org/wiki/Transmission_Control_Protocol
TCP/IP,Transmission Control Protocol/Internet Protocol ,https://en.wikipedia.org/wiki/Internet_protocol_suite
TFTP,Trivial File Transfer Protocol,https://en.wikipedia.org/wiki/Trivial_File_Transfer_Protocol
TKIP,Temporal Key Integrity Protocol (WiFi),https://en.wikipedia.org/wiki/Temporal_Key_Integrity_Protocol
TLS,Transport Layer Security,https://en.wikipedia.org/wiki/Transport_Layer_Security
TN,Twisted Nematic (LCD),https://en.wikipedia.org/wiki/Twisted_nematic_field_effect
TPM,Trusted Platform Module,https://en.wikipedia.org/wiki/Trusted_Platform_Module
TRRS,Tip Ring Ring Sleeve (headphone jack),https://en.wikipedia.org/wiki/Phone_connector_(audio)#TRRS_standards
UAC,User Account Control (Windows MAC enforcement feature),https://en.wikipedia.org/wiki/User_Account_Control
UDP,User Datagram Protocol,https://en.wikipedia.org/wiki/User_Datagram_Protocol
UEFI,Unified Extensible Firmware Interface,https://en.wikipedia.org/wiki/UEFI
UHD,Ultra High Definition,https://en.wikipedia.org/wiki/Ultra-high-definition_television
UNC,Universal Naming Convention (Windows network path),https://en.wikipedia.org/wiki/Path_(computing)#Universal_Naming_Convention
UPnP,Universal Plug and Play,https://en.wikipedia.org/wiki/Universal_Plug_and_Play
UPS,Uninterruptible Power Supply,https://en.wikipedia.org/wiki/Uninterruptible_power_supply
URL,Uniform Resource Locator,https://en.wikipedia.org/wiki/URL
USB,Universal Serial Bus,https://en.wikipedia.org/wiki/USB
